"area","autonomous_region","description","has_doorman","has_garden","has_lift","has_parking","has_storage","has_swimming_pool","is_residential","latitude","longitude","neighbors_per_floor","number","postal_code","province","reference","street","structures","total_floors","town","typology","year_built"
119,Extremadura,Esc.2 1º A,,,true,true,true,,false,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0024JQ",Paseo Extremadura,"[{""area"": 104, ""floor"": ""01"", ""door"": ""A"", ""typology"": ""O99""}, {""area"": 15, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,O,1999
93,Extremadura,Esc.2 1º B,,,true,true,true,,false,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0025KW",Paseo Extremadura,"[{""area"": 81, ""floor"": ""01"", ""door"": ""B"", ""typology"": ""O99""}, {""area"": 12, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,O,1999
118,Extremadura,Esc.2 1º C,,,true,true,true,,false,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0026LE",Paseo Extremadura,"[{""area"": 103, ""floor"": ""01"", ""door"": ""C"", ""typology"": ""O99""}, {""area"": 15, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,O,1999
119,Extremadura,Esc.2 2º A,,,true,true,true,,true,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0030BR",Paseo Extremadura,"[{""area"": 104, ""floor"": ""02"", ""door"": ""A"", ""typology"": ""V""}, {""area"": 15, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1999
93,Extremadura,Esc.2 2º B,,,true,true,true,,true,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0031ZT",Paseo Extremadura,"[{""area"": 81, ""floor"": ""02"", ""door"": ""B"", ""typology"": ""V""}, {""area"": 12, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1999
65,Extremadura,Inmueble,,,,,,,true,38.52816,-6.4427085,1,"66",6360,badajoz,"3178016QC2637N0001BH",Paseo Extremadura,"[{""area"": 65, ""floor"": ""00"", ""door"": """", ""typology"": ""V""}]",1,fuente-del-maestre-badajoz,V,1950
118,Extremadura,Esc.2 2º C,,,true,true,true,,true,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0032XY",Paseo Extremadura,"[{""area"": 103, ""floor"": ""02"", ""door"": ""C"", ""typology"": ""V""}, {""area"": 15, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1999
119,Extremadura,Esc.2 3º A,,,true,true,true,,true,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0036EP",Paseo Extremadura,"[{""area"": 104, ""floor"": ""03"", ""door"": ""A"", ""typology"": ""V""}, {""area"": 15, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1999
93,Extremadura,Esc.2 3º B,,,true,true,true,,true,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0037RA",Paseo Extremadura,"[{""area"": 81, ""floor"": ""03"", ""door"": ""B"", ""typology"": ""V""}, {""area"": 12, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1999
118,Extremadura,Esc.2 3º C,,,true,true,true,,true,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0038TS",Paseo Extremadura,"[{""area"": 103, ""floor"": ""03"", ""door"": ""C"", ""typology"": ""V""}, {""area"": 15, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1999
119,Extremadura,Esc.2 4º A,,,true,true,true,,true,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0042YD",Paseo Extremadura,"[{""area"": 104, ""floor"": ""04"", ""door"": ""A"", ""typology"": ""V""}, {""area"": 15, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1999
93,Extremadura,Esc.2 4º B,,,true,true,true,,true,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0043UF",Paseo Extremadura,"[{""area"": 81, ""floor"": ""04"", ""door"": ""B"", ""typology"": ""V""}, {""area"": 12, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1999
118,Extremadura,Esc.2 4º C,,,true,true,true,,true,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0044IG",Paseo Extremadura,"[{""area"": 103, ""floor"": ""04"", ""door"": ""C"", ""typology"": ""V""}, {""area"": 15, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1999
9,Extremadura,Esc.2 5º 01,,,true,true,true,,false,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0045OH",Paseo Extremadura,"[{""area"": 8, ""floor"": ""05"", ""door"": ""01"", ""typology"": ""AAL""}, {""area"": 1, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,A,1999
